sub,rt_B1,inc_B1,rt_B2,inc_B2
sub1,504,0.0232558139534884,798,0.0432432432432432
sub2,614,0.0125,707,0.0324324324324324
sub3,741,0.0116279069767442,707.5,0
sub4,490,0.0113636363636364,542,0.0103626943005181
sub5,530.5,0.0515463917525773,609,0.0105820105820106
sub6,560,0.0112359550561798,668,0.0338983050847458
sub7,647,0.0285714285714286,839.5,0.024
sub8,581.5,0.03,591,0.0351758793969849
sub9,665,0.0112359550561798,711,0.010989010989011
sub10,668,0.0210526315789474,592.5,0
sub11,587,0,482,0.0108695652173913
sub12,440,0.0108695652173913,529,0.00552486187845304
sub13,662,0.00961538461538462,591,0.0297029702970297
sub14,450,0.0224719101123595,421,0
sub15,686,0,711,0.0119760479041916
sub16,354,0,472,0.0102564102564103
sub17,876.5,0.021505376344086,870,0.0276243093922652
sub18,375.5,0,370,0.0145631067961165
sub19,493.5,0.0135135135135135,719.5,0.112903225806452
sub20,445,0.03,436.5,0.00492610837438424
sub21,557,0.0206185567010309,541.5,0.005
sub22,510,0.0217391304347826,704,0
sub23,623,0,764.5,0
sub24,454,0.0194174757281553,462.5,0.00492610837438424
sub25,379,0,355,0.0099009900990099
sub26,630,0,582.5,0.0151515151515152
sub27,810,0.0181818181818182,822,0.04375
sub28,594.5,0.03125,563,0.03125
sub29,387,0,383,0
sub30,479.5,0.0217391304347826,442,0.0140845070422535
sub31,509,0.038961038961039,410,0.0532544378698225
sub32,439.5,0.00961538461538462,567,0.00490196078431373
sub33,535.5,0,592,0.00970873786407767
sub35,693,0.0112359550561798,745,0.0181818181818182
sub36,667,0,553,0.0171428571428571
sub38,654.5,0.0761904761904762,651,0.0452261306532663
sub39,681,0.0309278350515464,714.5,0.0338983050847458
sub40,487,0.0212765957446809,567,0.0205128205128205
sub41,536.5,0.00952380952380952,575,0.00970873786407767
sub42,767,0.0476190476190476,736,0.0304568527918782
sub43,547,0,509,0.03125
sub44,649,0.00961538461538462,754.5,0.0050251256281407
sub46,537,0.0297029702970297,469,0.0099009900990099
sub47,614,0.0099009900990099,613,0.0199004975124378
sub48,590,0.00952380952380952,803,0.00966183574879227
sub49,683,0.0194174757281553,587,0.0099009900990099
sub50,437,0.0210526315789474,581,0.0297029702970297
sub51,745,0,629,0.01
