sub,eye,roi,window,compare,cond,value
sub001,open,V1d,stim500pre,accuracy,correct,0.226933053890005
sub001,open,V1d,stim500pre,accuracy,incorrect,0.124999924319132
sub001,open,V1d,stim500pre,accuracy_e,correct_e,0.506684690351895
sub001,open,V1d,stim500pre,accuracy_e,incorrect_e,0.124999924319132
sub001,open,V1d,stim500pre,rt,fast,0.265966937816362
sub001,open,V1d,stim500pre,rt,slow,0.221573843085076
sub001,open,V1v,stim500pre,accuracy,correct,0.252260470322957
sub001,open,V1v,stim500pre,accuracy,incorrect,0.0430792974898492
sub001,open,V1v,stim500pre,accuracy_e,correct_e,0.235056254683632
sub001,open,V1v,stim500pre,accuracy_e,incorrect_e,0.0430792974898492
sub001,open,V1v,stim500pre,rt,fast,0.310541620428703
sub001,open,V1v,stim500pre,rt,slow,0.216844772103838
sub001,open,V2d,stim500pre,accuracy,correct,0.102459400854638
sub001,open,V2d,stim500pre,accuracy,incorrect,0.172215931439822
sub001,open,V2d,stim500pre,accuracy_e,correct_e,0.0546733182734991
sub001,open,V2d,stim500pre,accuracy_e,incorrect_e,0.172215931439822
sub001,open,V2d,stim500pre,rt,fast,0.159561242588469
sub001,open,V2d,stim500pre,rt,slow,0.0693031276527235
sub001,open,V3a,stim500pre,accuracy,correct,0.068658783891814
sub001,open,V3a,stim500pre,accuracy,incorrect,0.197993941205933
sub001,open,V3a,stim500pre,accuracy_e,correct_e,-0.0784140117488792
sub001,open,V3a,stim500pre,accuracy_e,incorrect_e,0.197993941205933
sub001,open,V3a,stim500pre,rt,fast,0.240311479003484
sub001,open,V3a,stim500pre,rt,slow,-0.0733928599948321
sub001,open,V3b,stim500pre,accuracy,correct,0.0232711623188081
sub001,open,V3b,stim500pre,accuracy,incorrect,0.719832199736588
sub001,open,V3b,stim500pre,accuracy_e,correct_e,-0.0594170373129062
sub001,open,V3b,stim500pre,accuracy_e,incorrect_e,0.719832199736588
sub001,open,V3b,stim500pre,rt,fast,-0.0113123824788631
sub001,open,V3b,stim500pre,rt,slow,0.0510284806674674
sub001,open,V3d,stim500pre,accuracy,correct,0.0956688891993356
sub001,open,V3d,stim500pre,accuracy,incorrect,0.0696515181731233
sub001,open,V3d,stim500pre,accuracy_e,correct_e,0.665544692441085
sub001,open,V3d,stim500pre,accuracy_e,incorrect_e,0.0696515181731233
sub001,open,V3d,stim500pre,rt,fast,0.227432196130818
sub001,open,V3d,stim500pre,rt,slow,-0.0228637737432933
sub001,open,V3v,stim500pre,accuracy,correct,0.217101482441523
sub001,open,V3v,stim500pre,accuracy,incorrect,0.325417492063107
sub001,open,V3v,stim500pre,accuracy_e,correct_e,0.662655630723243
sub001,open,V3v,stim500pre,accuracy_e,incorrect_e,0.325417492063107
sub001,open,V3v,stim500pre,rt,fast,0.28345423092675
sub001,open,V3v,stim500pre,rt,slow,0.153841249126881
sub001,closed,V1d,stim500pre,accuracy,correct,0.00141389192989258
sub001,closed,V1d,stim500pre,accuracy,incorrect,0.326065058438287
sub001,closed,V1d,stim500pre,accuracy_e,correct_e,0.00920933539895229
sub001,closed,V1d,stim500pre,accuracy_e,incorrect_e,0.326065058438287
sub001,closed,V1d,stim500pre,rt,fast,0.0866401759516568
sub001,closed,V1d,stim500pre,rt,slow,-0.0754764197032803
sub001,closed,V1v,stim500pre,accuracy,correct,0.0312926216804457
sub001,closed,V1v,stim500pre,accuracy,incorrect,0.0515420828518693
sub001,closed,V1v,stim500pre,accuracy_e,correct_e,0.053728169456295
sub001,closed,V1v,stim500pre,accuracy_e,incorrect_e,0.0515420828518693
sub001,closed,V1v,stim500pre,rt,fast,0.00385265130195113
sub001,closed,V1v,stim500pre,rt,slow,0.0627331732331449
sub001,closed,V2d,stim500pre,accuracy,correct,-0.0821386038661626
sub001,closed,V2d,stim500pre,accuracy,incorrect,0.256329641810176
sub001,closed,V2d,stim500pre,accuracy_e,correct_e,0.159086674095663
sub001,closed,V2d,stim500pre,accuracy_e,incorrect_e,0.256329641810176
sub001,closed,V2d,stim500pre,rt,fast,0.029973293934676
sub001,closed,V2d,stim500pre,rt,slow,-0.178977235368971
sub001,closed,V3a,stim500pre,accuracy,correct,-0.140363020297123
sub001,closed,V3a,stim500pre,accuracy,incorrect,-0.310279742248838
sub001,closed,V3a,stim500pre,accuracy_e,correct_e,-0.33019743344756
sub001,closed,V3a,stim500pre,accuracy_e,incorrect_e,-0.310279742248838
sub001,closed,V3a,stim500pre,rt,fast,-0.32603946358636
sub001,closed,V3a,stim500pre,rt,slow,0.0136811847163562
sub001,closed,V3b,stim500pre,accuracy,correct,-0.0615214856019271
sub001,closed,V3b,stim500pre,accuracy,incorrect,-0.269018669384343
sub001,closed,V3b,stim500pre,accuracy_e,correct_e,-0.320865627910596
sub001,closed,V3b,stim500pre,accuracy_e,incorrect_e,-0.269018669384343
sub001,closed,V3b,stim500pre,rt,fast,-0.160641065138715
sub001,closed,V3b,stim500pre,rt,slow,0.0452765592710341
sub001,closed,V3d,stim500pre,accuracy,correct,-0.164507979924632
sub001,closed,V3d,stim500pre,accuracy,incorrect,-0.179793747395525
sub001,closed,V3d,stim500pre,accuracy_e,correct_e,-0.268955369449277
